agency_cd,site_no,Date,q_cfs,X_00060_00003_cd
USGS,01463500,1995-09-30,2960,A
USGS,01463500,1995-10-01,2800,A
USGS,01463500,1995-10-02,2560,A
USGS,01463500,1995-10-03,2580,A
USGS,01463500,1995-10-04,2560,A
USGS,01463500,1995-10-05,3180,A
USGS,01463500,1995-10-06,12400,A
USGS,01463500,1995-10-07,12500,A
USGS,01463500,1995-10-08,8130,A
USGS,01463500,1995-10-09,6250,A
USGS,01463500,1995-10-10,4880,A
USGS,01463500,1995-10-11,3960,A
USGS,01463500,1995-10-12,3270,A
USGS,01463500,1995-10-13,2740,A
USGS,01463500,1995-10-14,2760,A
USGS,01463500,1995-10-15,6180,A
USGS,01463500,1995-10-16,6510,A
USGS,01463500,1995-10-17,6200,A
USGS,01463500,1995-10-18,6370,A
USGS,01463500,1995-10-19,4880,A
USGS,01463500,1995-10-20,3970,A
USGS,01463500,1995-10-21,14300,A
USGS,01463500,1995-10-22,34700,A
USGS,01463500,1995-10-23,45800,A
USGS,01463500,1995-10-24,29400,A
USGS,01463500,1995-10-25,20600,A
USGS,01463500,1995-10-26,15500,A
USGS,01463500,1995-10-27,12500,A
USGS,01463500,1995-10-28,16800,A
USGS,01463500,1995-10-29,17300,A
USGS,01463500,1995-10-30,17500,A
USGS,01463500,1995-10-31,15100,A
USGS,01463500,1995-11-01,12600,A
USGS,01463500,1995-11-02,12800,A
USGS,01463500,1995-11-03,14000,A
USGS,01463500,1995-11-04,13000,A
USGS,01463500,1995-11-05,12800,A
USGS,01463500,1995-11-06,11100,A
USGS,01463500,1995-11-07,9900,A
USGS,01463500,1995-11-08,10300,A
USGS,01463500,1995-11-09,9360,A
USGS,01463500,1995-11-10,8910,A
USGS,01463500,1995-11-11,8640,A
USGS,01463500,1995-11-12,21100,A
USGS,01463500,1995-11-13,32700,A
USGS,01463500,1995-11-14,34200,A
USGS,01463500,1995-11-15,36200,A
USGS,01463500,1995-11-16,40400,A
USGS,01463500,1995-11-17,37600,A
USGS,01463500,1995-11-18,29800,A
USGS,01463500,1995-11-19,24900,A
USGS,01463500,1995-11-20,22100,A
USGS,01463500,1995-11-21,20300,A
USGS,01463500,1995-11-22,18600,A
USGS,01463500,1995-11-23,17400,A
USGS,01463500,1995-11-24,15300,A
USGS,01463500,1995-11-25,13600,A
USGS,01463500,1995-11-26,12200,A
USGS,01463500,1995-11-27,11300,A
USGS,01463500,1995-11-28,10700,A
USGS,01463500,1995-11-29,10600,A
USGS,01463500,1995-11-30,10700,A
USGS,01463500,1995-12-01,12600,A
USGS,01463500,1995-12-02,11800,A
USGS,01463500,1995-12-03,10700,A
USGS,01463500,1995-12-04,9740,A
USGS,01463500,1995-12-05,9380,A
USGS,01463500,1995-12-06,10400,A
USGS,01463500,1995-12-07,10500,A
USGS,01463500,1995-12-08,9920,A
USGS,01463500,1995-12-09,9550,A
USGS,01463500,1995-12-10,8840,A
USGS,01463500,1995-12-11,7140,A
USGS,01463500,1995-12-12,5980,A
USGS,01463500,1995-12-13,6410,A
USGS,01463500,1995-12-14,6770,A
USGS,01463500,1995-12-15,6270,A
USGS,01463500,1995-12-16,7200,A
USGS,01463500,1995-12-17,8170,A
USGS,01463500,1995-12-18,7540,A
USGS,01463500,1995-12-19,6930,A
USGS,01463500,1995-12-20,6980,A
USGS,01463500,1995-12-21,6740,A
